key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:dbt-practice-give@dark,PASS,none,NONE,False,False,,0.06868,0.01862,0.63446,0.84,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-give-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-give-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-give_dark.png
suite:dbt-practice-give@light,PASS,none,NONE,False,False,,0.06508,0.02035,0.94308,1.4,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-give-light-960x600.png,qa\_captures_v8\suite-dbt-practice-give-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-give_light.png
suite:dbt-practice-non-judgmental@dark,PASS,none,NONE,False,False,,0.06966,0.01836,0.65155,0.95,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-non-judgmental-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-non-judgmental-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-non-judgmental_dark.png
suite:dbt-practice-non-judgmental@light,PASS,none,NONE,False,False,,0.06614,0.02042,0.94447,1.44,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-non-judgmental-light-960x600.png,qa\_captures_v8\suite-dbt-practice-non-judgmental-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-non-judgmental_light.png
suite:dbt-practice-observe-describe@dark,PASS,none,NONE,False,False,,0.06987,0.01858,0.64478,0.97,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-observe-describe-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-observe-describe-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-observe-describe_dark.png
suite:dbt-practice-observe-describe@light,PASS,none,NONE,False,False,,0.0662,0.02048,0.94385,1.48,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-observe-describe-light-960x600.png,qa\_captures_v8\suite-dbt-practice-observe-describe-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-observe-describe_light.png
suite:dbt-practice-opposite-action@dark,PASS,none,NONE,False,False,,0.07366,0.02067,0.60571,1.08,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-opposite-action-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-opposite-action-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-opposite-action_dark.png
suite:dbt-practice-opposite-action@light,PASS,none,NONE,False,False,,0.06945,0.02239,0.9324,1.61,1,0.015502,qa\_mockup_canonical\suite-dbt-practice-opposite-action-light-960x600.png,qa\_captures_v8\suite-dbt-practice-opposite-action-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-opposite-action_light.png
suite:dbt-practice-participate@dark,PASS,none,NONE,False,False,,0.06924,0.01856,0.65362,0.87,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-participate-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-participate-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-participate_dark.png
suite:dbt-practice-participate@light,PASS,none,NONE,False,False,,0.06534,0.02057,0.9427,1.42,1,0.015502,qa\_mockup_canonical\suite-dbt-practice-participate-light-960x600.png,qa\_captures_v8\suite-dbt-practice-participate-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-participate_light.png
suite:dbt-practice-please@dark,PASS,none,NONE,False,False,,0.0729,0.02044,0.58772,1.17,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-please-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-please-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-please_dark.png
suite:dbt-practice-please@light,PASS,none,NONE,False,False,,0.0685,0.02224,0.93204,1.59,1,0.015502,qa\_mockup_canonical\suite-dbt-practice-please-light-960x600.png,qa\_captures_v8\suite-dbt-practice-please-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-please_light.png
suite:dbt-practice-problem-solving@dark,PASS,none,NONE,False,False,,0.07318,0.02026,0.59072,1.16,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-problem-solving-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-problem-solving-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-problem-solving_dark.png
suite:dbt-practice-problem-solving@light,PASS,none,NONE,False,False,,0.06387,0.01774,0.95816,0.96,1,0.006564,qa\_mockup_canonical\suite-dbt-practice-problem-solving-light-960x600.png,qa\_captures_v8\suite-dbt-practice-problem-solving-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-problem-solving_light.png
suite:dbt-practice-radical-acceptance@dark,PASS,none,NONE,False,False,,0.07118,0.0193,0.62511,1.05,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-radical-acceptance-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-radical-acceptance-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-radical-acceptance_dark.png
suite:dbt-practice-radical-acceptance@light,PASS,none,NONE,False,False,,0.06717,0.02136,0.93809,1.5,1,0.015502,qa\_mockup_canonical\suite-dbt-practice-radical-acceptance-light-960x600.png,qa\_captures_v8\suite-dbt-practice-radical-acceptance-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-radical-acceptance_light.png
suite:dbt-practice-self-soothe@dark,PASS,none,NONE,False,False,,0.07037,0.01864,0.64421,0.98,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-self-soothe-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-self-soothe-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-self-soothe_dark.png
suite:dbt-practice-self-soothe@light,PASS,none,NONE,False,False,,0.06665,0.02042,0.94515,1.45,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-self-soothe-light-960x600.png,qa\_captures_v8\suite-dbt-practice-self-soothe-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-self-soothe_light.png
suite:dbt-practice-stop@dark,PASS,none,NONE,False,False,,0.07072,0.01904,0.63644,0.92,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-stop-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-stop_dark.png
suite:dbt-practice-stop@light,PASS,none,NONE,False,False,,0.06718,0.02081,0.94261,1.49,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-stop-light-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-stop_light.png
suite:dbt-practice-tipp@dark,PASS,none,NONE,False,False,,0.07213,0.01956,0.62846,0.99,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-tipp-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-tipp-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-tipp_dark.png
suite:dbt-practice-tipp@light,PASS,none,NONE,False,False,,0.0685,0.0212,0.94117,1.56,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-tipp-light-960x600.png,qa\_captures_v8\suite-dbt-practice-tipp-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-tipp_light.png
suite:dbt-practice-validation-limits@dark,PASS,none,NONE,False,False,,0.073,0.02018,0.60489,1.15,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-validation-limits-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-validation-limits-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-validation-limits_dark.png
suite:dbt-practice-validation-limits@light,PASS,none,NONE,False,False,,0.06886,0.02224,0.93271,1.59,1,0.015502,qa\_mockup_canonical\suite-dbt-practice-validation-limits-light-960x600.png,qa\_captures_v8\suite-dbt-practice-validation-limits-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-validation-limits_light.png
suite:dbt-practice-wise-mind@dark,PASS,none,NONE,False,False,,0.07143,0.01964,0.62437,0.97,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-wise-mind-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-dark-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-wise-mind_dark.png
suite:dbt-practice-wise-mind@light,PASS,none,NONE,False,False,,0.06221,0.01715,0.96052,0.88,1,0.006569,qa\_mockup_canonical\suite-dbt-practice-wise-mind-light-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-light-960x600.png,reports\qa\dbt_full_compare_after_grid\panels\suite_dbt-practice-wise-mind_light.png
