key,verdict,codes,canonical_file,actual_file,back_screen_key,canonical_surface,actual_surface,canonical_resolution,actual_resolution,centered,bbox_size,backdrop_region,blur_dim_equivalence,back_screen_dependency,metrics
suite:dbt-practice-non-judgmental@light,PASS,,suite-dbt-practice-non-judgmental-light-960x600.png,suite-dbt-practice-non-judgmental-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148531, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6341, ""bbox_size_delta_px"": [6, 1], ""blur_ratio_delta"": 0.018092, ""canonical_blur_ratio"": 0.166624, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 412], ""center_delta_px"": [0.0, 1.5]}"
suite:dbt-practice-observe-describe@dark,FAIL,MODAL_BBOX_FAIL,suite-dbt-practice-observe-describe-dark-960x600.png,suite-dbt-practice-observe-describe-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,FAIL,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.198189, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0399, ""bbox_size_delta_px"": [39, 14], ""blur_ratio_delta"": 0.044704, ""canonical_blur_ratio"": 0.153485, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [4.5, 8.0]}"
suite:dbt-practice-observe-describe@light,PASS,,suite-dbt-practice-observe-describe-light-960x600.png,suite-dbt-practice-observe-describe-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148531, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6341, ""bbox_size_delta_px"": [6, 1], ""blur_ratio_delta"": 0.018091, ""canonical_blur_ratio"": 0.166623, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 412], ""center_delta_px"": [0.0, 1.5]}"
suite:dbt-practice-opposite-action@dark,PASS,,suite-dbt-practice-opposite-action-dark-960x600.png,suite-dbt-practice-opposite-action-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.195201, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 146, 575, 406], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0933, ""bbox_size_delta_px"": [25, 1], ""blur_ratio_delta"": 0.043824, ""canonical_blur_ratio"": 0.151377, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [191, 147, 600, 405], ""center_delta_px"": [1.5, 0.5]}"
suite:dbt-practice-opposite-action@light,PASS,,suite-dbt-practice-opposite-action-light-960x600.png,suite-dbt-practice-opposite-action-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6469, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018475, ""canonical_blur_ratio"": 0.167011, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-participate@dark,PASS,,suite-dbt-practice-participate-dark-960x600.png,suite-dbt-practice-participate-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.195187, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0923, ""bbox_size_delta_px"": [25, 8], ""blur_ratio_delta"": 0.044198, ""canonical_blur_ratio"": 0.150988, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [191, 147, 600, 405], ""center_delta_px"": [1.5, 4.0]}"
suite:dbt-practice-participate@light,PASS,,suite-dbt-practice-participate-light-960x600.png,suite-dbt-practice-participate-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.647, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018477, ""canonical_blur_ratio"": 0.167012, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-please@dark,FAIL,MODAL_BBOX_FAIL,suite-dbt-practice-please-dark-960x600.png,suite-dbt-practice-please-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,FAIL,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.198225, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0395, ""bbox_size_delta_px"": [39, 13], ""blur_ratio_delta"": 0.044746, ""canonical_blur_ratio"": 0.15348, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 153, 614, 400], ""center_delta_px"": [4.5, 7.5]}"
suite:dbt-practice-please@light,PASS,,suite-dbt-practice-please-light-960x600.png,suite-dbt-practice-please-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.647, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018472, ""canonical_blur_ratio"": 0.167008, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-problem-solving@dark,FAIL,MODAL_BBOX_FAIL,suite-dbt-practice-problem-solving-dark-960x600.png,suite-dbt-practice-problem-solving-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,FAIL,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.198225, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0395, ""bbox_size_delta_px"": [39, 13], ""blur_ratio_delta"": 0.044745, ""canonical_blur_ratio"": 0.15348, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 153, 614, 400], ""center_delta_px"": [4.5, 7.5]}"
suite:dbt-practice-problem-solving@light,PASS,,suite-dbt-practice-problem-solving-light-960x600.png,suite-dbt-practice-problem-solving-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.146874, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 400], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6676, ""bbox_size_delta_px"": [0, 0], ""blur_ratio_delta"": 0.01685, ""canonical_blur_ratio"": 0.163724, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [183, 125, 594, 400], ""center_delta_px"": [0.0, 0.0]}"
suite:dbt-practice-radical-acceptance@dark,FAIL,MODAL_BBOX_FAIL,suite-dbt-practice-radical-acceptance-dark-960x600.png,suite-dbt-practice-radical-acceptance-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,FAIL,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.198155, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0403, ""bbox_size_delta_px"": [39, 15], ""blur_ratio_delta"": 0.044666, ""canonical_blur_ratio"": 0.153489, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 155, 614, 398], ""center_delta_px"": [4.5, 8.5]}"
suite:dbt-practice-radical-acceptance@light,PASS,,suite-dbt-practice-radical-acceptance-light-960x600.png,suite-dbt-practice-radical-acceptance-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.647, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018475, ""canonical_blur_ratio"": 0.16701, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-self-soothe@dark,FAIL,MODAL_BBOX_FAIL,suite-dbt-practice-self-soothe-dark-960x600.png,suite-dbt-practice-self-soothe-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,FAIL,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.198225, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0395, ""bbox_size_delta_px"": [39, 13], ""blur_ratio_delta"": 0.044747, ""canonical_blur_ratio"": 0.153478, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 153, 614, 400], ""center_delta_px"": [4.5, 7.5]}"
suite:dbt-practice-self-soothe@light,PASS,,suite-dbt-practice-self-soothe-light-960x600.png,suite-dbt-practice-self-soothe-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148531, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6342, ""bbox_size_delta_px"": [6, 1], ""blur_ratio_delta"": 0.018088, ""canonical_blur_ratio"": 0.166619, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 412], ""center_delta_px"": [0.0, 1.5]}"
suite:dbt-practice-stop@dark,PASS,,suite-dbt-practice-stop-dark-960x600.png,suite-dbt-practice-stop-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.195187, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0923, ""bbox_size_delta_px"": [25, 8], ""blur_ratio_delta"": 0.0442, ""canonical_blur_ratio"": 0.150987, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [191, 147, 600, 405], ""center_delta_px"": [1.5, 4.0]}"
suite:dbt-practice-stop@light,PASS,,suite-dbt-practice-stop-light-960x600.png,suite-dbt-practice-stop-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6342, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018062, ""canonical_blur_ratio"": 0.166597, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-tipp@dark,PASS,,suite-dbt-practice-tipp-dark-960x600.png,suite-dbt-practice-tipp-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.195187, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0923, ""bbox_size_delta_px"": [25, 8], ""blur_ratio_delta"": 0.044199, ""canonical_blur_ratio"": 0.150988, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [191, 147, 600, 405], ""center_delta_px"": [1.5, 4.0]}"
suite:dbt-practice-tipp@light,PASS,,suite-dbt-practice-tipp-light-960x600.png,suite-dbt-practice-tipp-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148531, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6341, ""bbox_size_delta_px"": [6, 1], ""blur_ratio_delta"": 0.018093, ""canonical_blur_ratio"": 0.166624, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 412], ""center_delta_px"": [0.0, 1.5]}"
suite:dbt-practice-validation-limits@dark,FAIL,MODAL_BBOX_FAIL,suite-dbt-practice-validation-limits-dark-960x600.png,suite-dbt-practice-validation-limits-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,FAIL,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.198189, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0399, ""bbox_size_delta_px"": [39, 14], ""blur_ratio_delta"": 0.044703, ""canonical_blur_ratio"": 0.153486, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [4.5, 8.0]}"
suite:dbt-practice-validation-limits@light,PASS,,suite-dbt-practice-validation-limits-light-960x600.png,suite-dbt-practice-validation-limits-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6469, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018475, ""canonical_blur_ratio"": 0.16701, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-wise-mind@dark,PASS,,suite-dbt-practice-wise-mind-dark-960x600.png,suite-dbt-practice-wise-mind-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.195187, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [205, 139, 575, 413], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0923, ""bbox_size_delta_px"": [25, 8], ""blur_ratio_delta"": 0.044201, ""canonical_blur_ratio"": 0.150986, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [191, 147, 600, 405], ""center_delta_px"": [1.5, 4.0]}"
suite:dbt-practice-wise-mind@light,PASS,,suite-dbt-practice-wise-mind-light-960x600.png,suite-dbt-practice-wise-mind-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.146874, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 400], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6676, ""bbox_size_delta_px"": [0, 0], ""blur_ratio_delta"": 0.016841, ""canonical_blur_ratio"": 0.163715, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [183, 125, 594, 400], ""center_delta_px"": [0.0, 0.0]}"
