producto,vista,estado,tema,resolucion,receta,captura,inspeccion_manual,resultado,deuda_pendiente
suite,home,Home (con puntaje),dark,960x600,navigate:home > drain:8 > capture:home,suite-home-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,home-no-score,Home sin puntaje de animo,dark,960x600,navigate:home > call:_force_no_score > drain:6 > capture:home-no-score,suite-home-no-score-dark-960x600.png,pendiente,parcial,flags=REQUIRES_DATA_STATE ; notes=No-score depends on real persisted mood state; QA cache forcing is not product evidence.
suite,onboarding,Onboarding - form crear cuenta,dark,960x600,call:_build_onboarding > drain:6 > capture:onboarding,suite-onboarding-dark-520x600.png,pendiente,pendiente,"notes=Natural dialog capture accepted as technical evidence; inspect for complete content, clipping, overlap, and accessible controls."
suite,onboarding-error,Onboarding - estado error,dark,960x600,call:_build_onboarding > call:_onboarding_error_prompt > drain:6 > capture:onboarding-error,suite-onboarding-error-dark-520x600.png,pendiente,pendiente,"notes=Natural dialog capture accepted as technical evidence; inspect for complete content, clipping, overlap, and accessible controls."
suite,recuperar-acceso,Recuperar acceso - email requerido,dark,960x600,call:_build_onboarding > call:_onboarding_recovery_prompt > drain:6 > capture:recuperar-acceso,suite-recuperar-acceso-dark-520x600.png,pendiente,pendiente,"notes=Natural dialog capture accepted as technical evidence; inspect for complete content, clipping, overlap, and accessible controls."
suite,registro,TCC paso 0 - Situacion vacia,dark,960x600,navigate:registro > drain:8 > capture:registro,suite-registro-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,registro-step1-emotion,TCC paso 1 - Emocion,dark,960x600,navigate:registro > call:_tcc_prepare_step > drain:4 > capture:registro-step1-emotion,suite-registro-step1-emotion-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,registro-step1-emotion-otro,TCC paso 1 - Emocion Otro seleccionado,dark,960x600,navigate:registro > call:_tcc_prepare_step > drain:4 > call:_tcc_pick_otro > drain:4 > capture:registro-step1-emotion-otro,suite-registro-step1-emotion-otro-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,registro-step2-distortions,TCC paso 2 - distorsiones,dark,960x600,navigate:registro > call:_tcc_prepare_step > drain:6 > capture:registro-step2-distortions,suite-registro-step2-distortions-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,registro-step3-filled,TCC paso 3 - Respuesta llena,dark,960x600,navigate:registro > call:_tcc_prepare_step > drain:4 > capture:registro-step3-filled,suite-registro-step3-filled-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,registro-success,TCC - pagina exito,dark,960x600,navigate:registro > call:_tcc_fill_and_guardar > drain:10 > capture:registro-success,suite-registro-success-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,respiracion,Respiracion idle,dark,960x600,navigate:respiracion > drain:8 > capture:respiracion,suite-respiracion-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,respiracion-paused,Respiracion paused,dark,960x600,navigate:respiracion > call:_respiracion_start > drain:8 > call:_respiracion_pause > drain:6 > capture:respiracion-paused,suite-respiracion-paused-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,respiracion-running,Respiracion running (inhala),dark,960x600,navigate:respiracion > call:_respiracion_start_capture_phase > drain:4 > capture:respiracion-running,suite-respiracion-running-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,rutina,Rutina default (parcial),dark,960x600,navigate:rutina > drain:8 > capture:rutina,suite-rutina-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,rutina-add-task,Rutina + agregar tarea inline,dark,960x600,navigate:rutina > call:_rutina_open_add_task > drain:6 > capture:rutina-add-task,suite-rutina-add-task-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,rutina-all-completed,Rutina 100% completada,dark,960x600,navigate:rutina > call:_rutina_complete_all > drain:8 > capture:rutina-all-completed,suite-rutina-all-completed-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,rutina-empty,Rutina sin tareas asignadas — NMEmptyState (evidencia S09),dark,960x600,navigate:rutina > call:_rutina_force_empty > drain:6 > capture:rutina-empty,suite-rutina-empty-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,timer,Timer idle,dark,960x600,navigate:timer > drain:8 > capture:timer,suite-timer-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,timer-empty,Timer sin actividades asignadas (empty state),dark,960x600,navigate:timer > call:_timer_force_empty > drain:6 > capture:timer-empty,suite-timer-empty-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,timer-paused,Timer paused,dark,960x600,navigate:timer > call:_timer_start > drain:8 > call:_timer_pause > drain:6 > capture:timer-paused,suite-timer-paused-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,timer-running,Timer running,dark,960x600,navigate:timer > call:_timer_start > drain:12 > capture:timer-running,suite-timer-running-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
